FILENAME | WORD_COUNT | HAS_SPECIFIC_DATA | HAS_UNIQUE_CONTENT | TEMPLATE_PHRASES_COUNT | DUPLICATE_CONCLUSIONS | GRADE | NOTES
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
medical-dermatology/hair-scalp/PRP-hair-restoration.html | 376 | N | Y | 3 | Y | FAIL | SHORT_CONTENT; DUPLICATE_CONCLUSIONS(4)
medical-dermatology/hair-scalp/acquired-progressive-kinking-adult-hair-texture-changes.html | 849 | Y | Y | 0 | N | PASS | GENERIC_RISK_FACTORS(13)
medical-dermatology/hair-scalp/alopecia-areata-autoimmune-hair-loss-patches.html | 832 | Y | Y | 0 | N | PASS | GENERIC_RISK_FACTORS(14)
medical-dermatology/hair-scalp/alopecia-areata.html | 334 | Y | Y | 1 | Y | FAIL | SHORT_CONTENT; DUPLICATE_CONCLUSIONS(4)
medical-dermatology/hair-scalp/alopecia-children.html | 351 | N | Y | 2 | Y | FAIL | SHORT_CONTENT; DUPLICATE_CONCLUSIONS(4)
medical-dermatology/hair-scalp/alopecia-totalis-universalis.html | 342 | N | Y | 0 | Y | FAIL | SHORT_CONTENT; DUPLICATE_CONCLUSIONS(4)
medical-dermatology/hair-scalp/anagen-effluvium-chemotherapy-induced-hair-loss.html | 831 | Y | Y | 0 | N | PASS | GENERIC_RISK_FACTORS(13)
medical-dermatology/hair-scalp/androgenetic-alopecia-male-pattern-baldness.html | 274 | N | Y | 0 | Y | FAIL | SHORT_CONTENT; DUPLICATE_CONCLUSIONS(4); GENERIC_RISK_FACTORS(10)
medical-dermatology/hair-scalp/androgenetic-alopecia-pattern-hair-loss-explained.html | 832 | Y | Y | 0 | N | PASS | GENERIC_RISK_FACTORS(30)
medical-dermatology/hair-scalp/bubble-hair-heat-damage-at-the-microscopic-level.html | 834 | Y | Y | 0 | N | PASS | GENERIC_RISK_FACTORS(13)
medical-dermatology/hair-scalp/central-centrifugal-cicatricial-alopecia-hair-loss-in-black-women.html | 870 | Y | Y | 0 | N | PASS | GENERIC_RISK_FACTORS(13)
medical-dermatology/hair-scalp/central-centrifugal-cicatricial-alopecia.html | 385 | N | Y | 2 | Y | FAIL | SHORT_CONTENT; DUPLICATE_CONCLUSIONS(4)
medical-dermatology/hair-scalp/combination-therapy-hair-loss.html | 439 | N | Y | 3 | Y | FAIL | SHORT_CONTENT; DUPLICATE_CONCLUSIONS(4)
medical-dermatology/hair-scalp/dandruff.html | 377 | N | Y | 2 | Y | FAIL | SHORT_CONTENT; DUPLICATE_CONCLUSIONS(4)
medical-dermatology/hair-scalp/diffuse-alopecia-widespread-hair-thinning-causes.html | 835 | Y | Y | 0 | N | PASS | GENERIC_RISK_FACTORS(13)
medical-dermatology/hair-scalp/discoid-lupus-and-hair-loss-autoimmune-scarring.html | 884 | Y | Y | 0 | N | PASS | GENERIC_RISK_FACTORS(14)
medical-dermatology/hair-scalp/dissecting-cellulitis-of-the-scalp-perifolliculitis-treatment.html | 888 | Y | Y | 0 | N | PASS | GENERIC_RISK_FACTORS(13)
medical-dermatology/hair-scalp/dissecting-cellulitis-scalp.html | 374 | N | Y | 1 | Y | FAIL | SHORT_CONTENT; DUPLICATE_CONCLUSIONS(4)
medical-dermatology/hair-scalp/dutasteride-for-hair-loss-stronger-dht-blocker.html | 873 | Y | Y | 0 | N | PASS | GENERIC_RISK_FACTORS(13)
medical-dermatology/hair-scalp/female-pattern-hair-loss-womens-hair-thinning-guide.html | 869 | Y | Y | 0 | N | PASS | GENERIC_RISK_FACTORS(13)
