filename,word_count,has_specific_data,has_unique_content,template_phrases_count,duplicate_conclusions,grade,notes
allergies/TNF-alpha-inhibitors.html,230,N,N,3,N,FAIL,low_wordcount(230)|no_specific_data|generic_template
allergies/acute-urticaria-sudden-hive-outbreaks.html,707,Y,N,12,Y,FAIL,generic_template|excessive_template(12)|dup_conclusions|generic_risk_factors
allergies/acute-urticaria.html,179,Y,Y,0,N,PASS,acceptable_content
allergies/allergic-contact-dermatitis.html,158,N,Y,1,N,FAIL,low_wordcount(158)|no_specific_data
allergies/anaphylaxis-skin-signs.html,190,Y,N,1,N,PASS,acceptable_content
allergies/angioedema.html,162,N,Y,0,N,FAIL,low_wordcount(162)|no_specific_data
allergies/atopic-dermatitis-immunology.html,191,N,Y,1,N,FAIL,low_wordcount(191)|no_specific_data
allergies/autoimmune-urticaria.html,171,N,Y,2,N,FAIL,low_wordcount(171)|no_specific_data
allergies/cholinergic-urticaria-heat-and-exercise-induced-hives.html,699,Y,N,7,Y,FAIL,generic_template|excessive_template(7)|dup_conclusions|generic_risk_factors
allergies/cholinergic-urticaria.html,174,N,Y,0,N,FAIL,low_wordcount(174)|no_specific_data
allergies/chronic-urticaria-long-lasting-hives-management.html,702,Y,N,7,Y,FAIL,generic_template|excessive_template(7)|dup_conclusions|generic_risk_factors
allergies/chronic-urticaria.html,200,Y,Y,1,N,PASS,acceptable_content
allergies/cold-urticaria-hives-from-cold-exposure.html,708,Y,N,12,Y,FAIL,generic_template|excessive_template(12)|dup_conclusions|generic_risk_factors
allergies/cold-urticaria.html,188,N,Y,0,N,FAIL,low_wordcount(188)|no_specific_data
allergies/dermatitis-herpetiformis.html,168,N,Y,0,N,FAIL,low_wordcount(168)|no_specific_data
allergies/dermatographism-writing-on-skin-condition.html,685,Y,N,7,Y,FAIL,generic_template|excessive_template(7)|dup_conclusions|generic_risk_factors
allergies/dermatomyositis-skin-and-muscle-autoimmune-disease.html,688,Y,N,7,Y,FAIL,generic_template|excessive_template(7)|dup_conclusions|generic_risk_factors
allergies/dress-syndrome-drug-reaction-with-systemic-symptoms.html,699,Y,N,7,Y,FAIL,generic_template|excessive_template(7)|dup_conclusions|generic_risk_factors
allergies/dress-syndrome.html,190,Y,Y,0,N,PASS,acceptable_content
allergies/dupilumab-atopic-dermatitis.html,171,Y,N,1,N,PASS,acceptable_content
allergies/dupilumab-for-atopic-dermatitis-biologic-breakthrough.html,727,Y,N,7,Y,FAIL,generic_template|excessive_template(7)|dup_conclusions|generic_risk_factors
allergies/exanthematous-drug-eruption.html,188,Y,Y,2,N,PASS,acceptable_content
allergies/fixed-drug-eruption-recurring-medication-reaction.html,716,Y,N,7,Y,FAIL,generic_template|excessive_template(7)|dup_conclusions|generic_risk_factors
allergies/fixed-drug-eruption.html,182,N,Y,0,N,FAIL,low_wordcount(182)|no_specific_data
allergies/fragrance-allergy-hidden-allergens-in-products.html,699,Y,N,7,Y,FAIL,generic_template|excessive_template(7)|dup_conclusions|generic_risk_factors
allergies/fragrance-sensitivity.html,178,Y,Y,0,N,PASS,acceptable_content
allergies/index.html,1419,N,N,0,N,FAIL,no_specific_data|generic_template
allergies/intradermal-testing-drug-allergy-evaluation.html,702,Y,N,7,Y,FAIL,generic_template|excessive_template(7)|dup_conclusions|generic_risk_factors
allergies/jak-inhibitors-in-dermatology-new-treatment-class.html,735,Y,N,12,Y,FAIL,generic_template|excessive_template(12)|dup_conclusions|generic_risk_factors
allergies/jak-inhibitors-skin.html,201,N,N,3,N,FAIL,low_wordcount(201)|no_specific_data|generic_template
allergies/latex-allergy-natural-rubber-skin-reactions.html,702,Y,N,7,Y,FAIL,generic_template|excessive_template(7)|dup_conclusions|generic_risk_factors
allergies/latex-allergy.html,160,N,Y,0,N,FAIL,low_wordcount(160)|no_specific_data
allergies/linear-iga-bullous-dermatosis-blistering-disease.html,730,Y,N,7,Y,FAIL,generic_template|excessive_template(7)|dup_conclusions|generic_risk_factors
allergies/lupus-skin-manifestations-cutaneous-lupus-variants.html,721,Y,N,12,Y,FAIL,generic_template|excessive_template(12)|dup_conclusions|generic_risk_factors
